com.example.tasks.App	com.example.tasks.model.Task	import
com.example.tasks.App	com.example.tasks.queue.ConcurrentQueue	import
com.example.tasks.App	com.example.tasks.queue.Queue	import
com.example.tasks.App	com.example.tasks.store.MemoryStore	import
com.example.tasks.App	com.example.tasks.store.Store	import
com.example.tasks.App	com.example.tasks.worker.WorkerConfig	import
com.example.tasks.App	com.example.tasks.worker.WorkerPool	import
com.example.tasks.queue.ConcurrentQueue	com.example.tasks.queue.Queue	inherit
com.example.tasks.queue.PriorityQueue	com.example.tasks.model.Priority	import
com.example.tasks.queue.PriorityQueue	com.example.tasks.model.Task	import
com.example.tasks.queue.PriorityQueue	com.example.tasks.queue.Queue	inherit
com.example.tasks.queue.QueueFactory	com.example.tasks.model.Task	import
com.example.tasks.store.FileStore	com.example.tasks.store.Store	inherit
com.example.tasks.store.MemoryStore	com.example.tasks.store.Store	inherit
com.example.tasks.worker.Worker	com.example.tasks.model.Task	import
com.example.tasks.worker.Worker	com.example.tasks.model.TaskState	import
com.example.tasks.worker.Worker	com.example.tasks.queue.Queue	import
com.example.tasks.worker.Worker	com.example.tasks.store.Store	import
com.example.tasks.worker.WorkerPool	com.example.tasks.model.Task	import
com.example.tasks.worker.WorkerPool	com.example.tasks.queue.Queue	import
com.example.tasks.worker.WorkerPool	com.example.tasks.store.Store	import
